P_bar,T_C,Z,V_m3_per_kmol,H_J_per_mol,S_J_per_mol_K
40,-100,0.7601901210524659,0.2736017753486966,-4694.466533093554,-50.6628000804706
40,-75,0.8507308274950419,0.3503970496966202,-3704.8928099484347,-45.31463042773534
40,-50,0.9008221888717667,0.417840141600545,-2818.8461065786714,-41.10041543795959
40,-25,0.9320225755283377,0.480745143044708,-1979.6399686900081,-37.53457365461688
40,0,0.9527597428796978,0.5409520826193568,-1166.1971192309268,-34.41075712556949
40,25,0.9671464507188737,0.599378623166138,-368.01991825782477,-31.614423713497064
40,50,0.9774408541422079,0.6565515656192294,421.01831671955534,-29.07294382846431
40,75,0.9849812430085886,0.7128014156528725,1204.8742773444865,-26.73645844788027
40,100,0.990605494864852,0.7683487204468258,1986.2865554655743,-24.56889105882077
40,125,0.9948606782244223,0.8233475159240462,2767.244615800071,-22.543142961680175
40,150,0.9981161452971814,0.8779092392687912,3549.242357482856,-20.63828248943129
50,-100,0.6920906051914427,0.199273537541237,-5033.30578476878,-53.96989800495823
50,-75,0.8142591589182291,0.26830014641740413,-3919.5519747700796,-47.94362868998418
50,-50,0.8780541762628896,0.32582348514495796,-2979.3444392456236,-43.47047051386581
50,-25,0.916998525275468,0.3783964884802836,-2107.435789346221,-39.76520945941236
50,0,0.942629317353404,0.42816023340295334,-1271.3728062781638,-36.55431833903054
50,25,0.9603116475695075,0.4761142618702964,-456.32894441891955,-33.69878607324509
50,50,0.9729198634757492,0.5228118361372402,345.8992763898668,-31.114759206862413
50,75,0.9821332104308697,0.5685923038424562,1140.4147295958749,-28.746462012781876
50,100,0.9889935450996111,0.613678748076097,1930.6513472912552,-26.55439165897256
50,125,0.9941770195497114,0.6582253755538432,2719.050236200611,-24.50932559259938
50,150,0.9981382339171657,0.7023429341381183,3507.414174476164,-22.588945827803048
60,-100,0.6201573894112878,0.1488015151645035,-5424.07097035132,-57.22340584469542
60,-75,0.7787990557350745,0.2138466383776555,-4141.1219157834075,-50.26994067135394
60,-50,0.8564189871901331,0.26482934908246025,-3140.3482738092407,-45.50696787879225
60,-25,0.9029045285395131,0.3104838717612839,-2234.051674270669,-41.655052224633344
60,0,0.9332298010363111,0.3532423280236378,-1374.8884159747977,-38.35522353774489
60,25,0.9540490742612805,0.39417444320427536,-542.8990111280791,-35.44021023017513
60,50,0.9688495717568528,0.4338538408680945,272.45003913408954,-32.8138572706348
60,75,0.9796432032631887,0.47262562414407777,1077.502307069758,-30.414113401309404
60,100,0.9876685371017461,0.5107138079633121,1876.425783763692,-28.19792137203018
60,125,0.9937252863578878,0.54827190978736,2672.1296888994034,-26.133889711548168
60,150,0.998349252105988,0.5854095147614143,3466.7325283966625,-24.198300862037083
70,-100,0.5469853049690765,0.11249527971239018,-5876.534197548963,-60.58547860153221
70,-75,0.7449365676173605,0.17532728806684825,-4368.269845423495,-52.393104515536834
70,-50,0.8361060846732805,0.22161258530816771,-3301.063701289453,-47.312001047653794
70,-25,0.8898091030493291,0.2622691863969321,-2359.0660708282126,-43.30778594845421
70,0,0.9245852786105457,0.2999744903529915,-1476.5174894614415,-39.91790960480028
70,25,0.94836498630093,0.33585086420278043,-627.6083015941424,-36.943501236419145
70,50,0.9652289215659549,0.3704850021356383,200.73423396292958,-34.275231197851575
70,75,0.9775073284578325,0.4042244386342956,1016.1674184100623,-31.844505148013642
70,100,0.9866257180593161,0.4372924940268721,1823.621043648478,-29.604626241044777
70,125,0.9935007367483816,0.4698411584225377,2626.4830245584512,-27.52201031302163
70,150,0.9987448315969465,0.5019784059985178,3427.1911486355325,-25.57153803012133
80,-100,0.48323112281889735,0.08696041256360228,-6362.255534547827,-63.961690584456775
80,-75,0.7134319841832552,0.1469233595032004,-4598.50591831456,-54.364735063013946
80,-50,0.8173116672463525,0.1895521818804839,-3460.535214194737,-48.944568671921694
80,-25,0.8777756014434868,0.22638204704316917,-2482.035215527075,-44.78460045739721
80,0,0.9167155803484007,0.26024357455544567,-1576.0374753837887,-41.3044208303323
80,25,0.9432630077237866,0.29228855797009656,-710.3427128276868,-38.271085119526106
80,50,0.9620553427491405,0.3231085230464469,130.80876143148964,-35.561492007192044
