main_i,main_j,a_ij,b_ij,c_ij
12,11,-251.7,0.0,0.0
12,18,-9.2978,0.0,0.0
12,19,92.21,0.0,0.0
12,24,-142.2,0.572,0.0
12,25,1894.0,0.0,0.0
12,29,161.8,0.0,0.0
12,37,745.4,-0.622,0.0
12,39,580.3,0.0,0.0
12,42,227.6,-0.7762,0.0
12,44,489.15,0.0,0.0
12,45,260.64,-1.2868,0.0
13,1,-9.654,-0.0324,0.0
13,2,-844.3,2.945,0.0
13,3,179.0,0.0562,0.0
13,4,375.0,-1.57,0.0
13,5,650.9,-0.7132,0.000815
13,6,475.2,0.1198,0.0
13,7,140.7,0.0568,0.0
13,8,-80.58,0.0,0.0
13,9,695.8,-0.9619,-0.00246
13,10,235.7,0.1314,0.0
13,11,824.2,-6.009,0.00827
13,18,-199.94,-6.9867,0.0193
13,19,1987.0,-8.022,0.0107
13,20,521.48,0.0,0.0
13,21,-208.6,-0.2571,0.00242
13,22,492.9,-6.475,0.0181
13,23,-607.35,2.3467,0.0
13,24,-425.4,0.9514,0.0
13,25,974.0,-1.368,-0.0198
13,26,-305.1,0.7063,0.0
13,28,35.02,1.702,0.0
13,29,102.6,0.0,0.0
13,30,513.7,0.0,0.0
13,32,-104.8,0.0,0.0
13,34,-137.87,0.0,0.0
13,37,-422.7,2.23,0.0
13,38,155.7,-1.578,0.0
13,42,397.0,-1.379,0.0
13,43,-124.33,-0.294,0.0
13,44,-454.92,0.0,0.0
13,45,-515.93,0.3835,0.0
13,48,1321.5245,0.0,0.0
14,1,326.04,-2.6348,0.00336
14,2,498.8,-5.148,0.0104
14,3,-121.0,-1.901,0.007
14,4,-45.44,5.141,-0.0142
14,5,-75.63,-0.1511,0.0
14,6,-467.95,0.6574,0.0
14,7,-980.6,3.671,-0.00591
14,15,1517.0,-12.72,0.0256
14,16,-472.4,-0.2051,0.0106
14,19,-412.38,-0.4909,0.00626
14,24,-65.76,-0.3148,0.0
14,25,2553.0,-11.9,0.0
14,29,-205.1,0.0,0.0
14,39,162.14,0.0,0.0
14,42,124.3,-1.147,0.0
14,47,413.1067,0.0,0.0
15,1,207.26,-1.0916,0.0
